Age,Sex,Population,,
00-04,Male,344,,
00-04,Female,310,,
05-09,Male,382,,
05-09,Female,329,,
10-14,Male,446,,
10-14,Female,447,,
15-19,Male,733,,
15-19,Female,692,,
20-24,Male,1329,,
20-24,Female,1510,,
25-29,Male,1607,,
25-29,Female,1704,,
30-34,Male,1303,,
30-34,Female,1302,,
35-39,Male,1057,,
35-39,Female,1022,,
40-44,Male,838,,
40-44,Female,797,,
45-49,Male,889,,
45-49,Female,916,,
50-54,Male,803,,
50-54,Female,858,,
55-59,Male,741,,
55-59,Female,806,,
60-64,Male,671,,
60-64,Female,697,,
65-69,Male,477,,
65-69,Female,487,,
70-74,Male,460,,
70-74,Female,402,,
75-79,Male,377,,
75-79,Female,339,,
80-84,Male,244,,
80-84,Female,371,,
85+,Male,474,,
85+,Female,955,,
