continent,location,date,total_cases,total_deaths,total_cases_per_million,total_deaths_per_million,total_tests_per_thousand,positive_rate
Asia,Afghanistan,31/12/2019,,,,,,
Asia,Afghanistan,1/01/2020,,,,,,
Asia,Afghanistan,2/01/2020,,,,,,
Asia,Afghanistan,3/01/2020,,,,,,
Asia,Afghanistan,4/01/2020,,,,,,
Asia,Afghanistan,5/01/2020,,,,,,
Asia,Afghanistan,6/01/2020,,,,,,
Asia,Afghanistan,7/01/2020,,,,,,
Asia,Afghanistan,8/01/2020,,,,,,
Asia,Afghanistan,9/01/2020,,,,,,
Asia,Afghanistan,10/01/2020,,,,,,
Asia,Afghanistan,11/01/2020,,,,,,
Asia,Afghanistan,12/01/2020,,,,,,
Asia,Afghanistan,13/01/2020,,,,,,
Asia,Afghanistan,14/01/2020,,,,,,
Asia,Afghanistan,15/01/2020,,,,,,
Asia,Afghanistan,16/01/2020,,,,,,
Asia,Afghanistan,17/01/2020,,,,,,
Asia,Afghanistan,18/01/2020,,,,,,
Asia,Afghanistan,19/01/2020,,,,,,
Asia,Afghanistan,20/01/2020,,,,,,
Asia,Afghanistan,21/01/2020,,,,,,
Asia,Afghanistan,22/01/2020,,,,,,
Asia,Afghanistan,23/01/2020,,,,,,
Asia,Afghanistan,24/01/2020,,,,,,
Asia,Afghanistan,25/01/2020,,,,,,
Asia,Afghanistan,26/01/2020,,,,,,
Asia,Afghanistan,27/01/2020,,,,,,
Asia,Afghanistan,28/01/2020,,,,,,
Asia,Afghanistan,29/01/2020,,,,,,
Asia,Afghanistan,30/01/2020,,,,,,
Asia,Afghanistan,31/01/2020,,,,,,
Asia,Afghanistan,1/02/2020,,,,,,
Asia,Afghanistan,2/02/2020,,,,,,
Asia,Afghanistan,3/02/2020,,,,,,
Asia,Afghanistan,4/02/2020,,,,,,
Asia,Afghanistan,5/02/2020,,,,,,
Asia,Afghanistan,6/02/2020,,,,,,
Asia,Afghanistan,7/02/2020,,,,,,
Asia,Afghanistan,8/02/2020,,,,,,
Asia,Afghanistan,9/02/2020,,,,,,
Asia,Afghanistan,10/02/2020,,,,,,
Asia,Afghanistan,11/02/2020,,,,,,
Asia,Afghanistan,12/02/2020,,,,,,
Asia,Afghanistan,13/02/2020,,,,,,
Asia,Afghanistan,14/02/2020,,,,,,
Asia,Afghanistan,15/02/2020,,,,,,
Asia,Afghanistan,16/02/2020,,,,,,
Asia,Afghanistan,17/02/2020,,,,,,
Asia,Afghanistan,18/02/2020,,,,,,
Asia,Afghanistan,19/02/2020,,,,,,
Asia,Afghanistan,20/02/2020,,,,,,
Asia,Afghanistan,21/02/2020,,,,,,
Asia,Afghanistan,22/02/2020,,,,,,
Asia,Afghanistan,23/02/2020,,,,,,
Asia,Afghanistan,24/02/2020,,,,,,
Asia,Afghanistan,25/02/2020,1,,0.026,,,
Asia,Afghanistan,26/02/2020,1,,0.026,,,
Asia,Afghanistan,27/02/2020,1,,0.026,,,
Asia,Afghanistan,28/02/2020,1,,0.026,,,
Asia,Afghanistan,29/02/2020,1,,0.026,,,
Asia,Afghanistan,1/03/2020,1,,0.026,,,
Asia,Afghanistan,2/03/2020,1,,0.026,,,
Asia,Afghanistan,3/03/2020,,,,,,
Asia,Afghanistan,4/03/2020,,,,,,
Asia,Afghanistan,5/03/2020,,,,,,
Asia,Afghanistan,6/03/2020,,,,,,
Asia,Afghanistan,7/03/2020,,,,,,
